,ticker,pct
230,ZUC.MI,-39.62
231,T.TI,-39.78
232,LFG.MI,-39.93
233,SES.MI,-40.42
234,PHIA.MI,-40.79
235,YSFT.MI,-41.18
236,EUK.MI,-41.35
237,MOL.MI,-42.17
238,SFL.MI,-42.2
239,ACE.MI,-42.78
240,IGD.MI,-42.82
241,DIA.MI,-43.71
242,DIB.MI,-43.87
243,MEOG-U.TI,-44.12
244,BE.MI,-44.19
245,WD-U.TI,-44.98
246,BST.MI,-45.26
247,AUTME.MI,-45.7
248,ETH.MI,-46.9
249,REY.MI,-49.6
250,EM.MI,-50.02
251,LITE-U.TI,-50.7
252,BSS.MI,-51.52
253,IIG.MI,-53.88
254,VOWG-U.TI,-54.35
255,IWB.MI,-56.15
256,DAL.MI,-58.5
257,GAB.MI,-60.52
258,PRT.MI,-60.85
259,AEF.MI,-62.96
260,PYPL-U.TI,-66.72
261,VE.MI,-67.74
262,MTV.MI,-70.16
263,TFI.MI,-71.29
264,PRL.MI,-71.93
265,WMC.MI,-83.33
266,EEMS.MI,-84.73
267,PRM.MI,-85.9
268,BIE.MI,-91.88
269,BMPS.MI,-97.45
270,GO.MI,-97.59
271,SPM.MI,-98.3
272,KI.MI,-99.97
